card_id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
4524,825,Visa,Debit,4344676511950444,2022-12-01,623,YES,2,24295,2002-09-01,2008,No
2731,825,Visa,Debit,4956965974959986,2020-12-01,393,YES,2,21968,2014-04-01,2014,No
3701,825,Visa,Debit,4582313478255491,2024-02-01,719,YES,2,46414,2003-07-01,2004,No
42,825,Visa,Credit,4879494103069057,2024-08-01,693,NO,1,12400,2003-01-01,2012,No
4659,825,Mastercard,Debit (Prepaid),5722874738736011,2009-03-01,75,YES,1,28,2008-09-01,2009,No
4537,797,Visa,Credit,4404898874682993,2003-09-01,736,YES,1,27500,2003-09-01,2012,No
1278,797,Visa,Debit,4001482973848631,2022-07-01,972,YES,2,28508,2011-02-01,2011,No
3687,797,Mastercard,Debit,5627220683410948,2022-06-01,48,YES,2,9022,2003-07-01,2015,No
3465,797,Mastercard,Debit (Prepaid),5711382187309326,2020-11-01,722,YES,2,54,2010-06-01,2015,No
3754,1746,Mastercard,Debit (Prepaid),5766121508358701,2023-02-01,908,YES,1,99,2006-07-01,2012,No
5144,1718,Mastercard,Debit,5495199163052054,2022-03-01,677,YES,2,31599,2009-10-01,2009,No
2029,1718,Mastercard,Debit,5804499644308599,2023-07-01,258,NO,2,27480,2002-03-01,2008,No
2379,1718,Mastercard,Debit,5766352389579834,2020-02-01,992,YES,1,26743,2019-03-01,2019,No
2732,1718,Visa,Debit,4242015583697294,2020-06-01,928,YES,1,31463,2014-04-01,2014,No
4706,1718,Mastercard,Debit,5191030913182493,2024-06-01,360,YES,1,16055,2009-09-01,2009,No
281,708,Visa,Credit,4017261190134817,2015-05-01,877,YES,2,98100,2011-01-01,2011,No
1106,708,Mastercard,Debit (Prepaid),5581970288727991,2020-06-01,448,YES,1,62,2007-02-01,2007,No
5621,708,Visa,Debit,4032240655674503,2022-06-01,53,YES,1,132439,2010-11-01,2011,No
5165,708,Visa,Debit,4935974646456357,2020-06-01,649,YES,1,125723,2009-10-01,2010,No
5757,1164,Mastercard,Debit,5905027855347659,2022-01-01,886,YES,1,34900,1999-12-01,2012,No
27,68,Visa,Credit,4099623033306950,2021-09-01,74,YES,2,9900,2002-01-01,2019,No
4648,68,Visa,Debit,4281200324251212,2013-07-01,865,YES,2,21587,2007-09-01,2007,No
5435,68,Visa,Credit,4411456925570768,2022-11-01,922,YES,2,15800,2005-11-01,2011,No
3287,1075,Mastercard,Debit,5202477865497336,2022-04-01,861,YES,1,29964,2005-06-01,2014,No
4761,1075,Mastercard,Credit,5089768442116305,2023-07-01,686,YES,2,11200,2010-09-01,2010,No
5286,1075,Mastercard,Debit,5767339719294372,2021-12-01,669,NO,2,26753,2014-10-01,2014,No
744,1711,Visa,Debit,4595831603224644,2023-05-01,689,NO,2,17480,2020-01-01,2020,No
